specimen_id,uri_or_guid,subspecific_genetic_lineage,taxon_name,haploid_chromosome_count,ploidy,organ_or_tissue,developmental_stage,estimated_genome_size,propagation
1,,B73,Zea Mays,10,diploid,leaf,14 days old seedling,2300 Mb,selfing
2,,Mo17,Zea Mays,10,diploid,leaf,14 days old seedling,2300 Mb,selfing
3,,Oh43,Zea Mays,10,diploid,leaf,14 days old seedling,2300 Mb,selfing
4,,CML322,Zea Mays,10,diploid,leaf,14 days old seedling,2300 Mb,selfing
5,,Tx303,Zea Mays,10,diploid,leaf,14 days old seedling,2300 Mb,selfing
